url, extension, reason_for_invalidation
https://api.github.com/repos/mongodb/mongo/contents/CONTRIBUTING.rst,rst,contributing size < 0.5kB.
https://api.github.com/repos/mozilla/DeepSpeech/contents/CONTRIBUTING.rst,rst,contributing is not in Markdown.
https://api.github.com/repos/wjakob/nanogui/contents/CONTRIBUTING.rst,rst,contributing is not in Markdown.
https://api.github.com/repos/pytorch/ELF/contents/CONTRIBUTING.rst,rst,contributing is not in Markdown.
https://api.github.com/repos/arvidn/libtorrent/contents/.github/CONTRIBUTING.rst,rst,contributing is not in Markdown.
https://api.github.com/repos/Yelp/MOE/contents/docs/contributing.rst,rst,contributing is not in Markdown.
https://api.github.com/repos/fish-shell/fish-shell/contents/CONTRIBUTING.rst,rst,contributing is not in Markdown.
https://api.github.com/repos/openstack/devstack/contents/CONTRIBUTING.rst,rst,contributing is not in Markdown.
https://api.github.com/repos/pipeseroni/pipes.sh/contents/CONTRIBUTING.rst,rst,contributing is not in Markdown.
https://api.github.com/repos/debops/debops/contents/CONTRIBUTING.rst,rst,contributing is not in Markdown.
https://api.github.com/repos/obsproject/obs-studio/contents/CONTRIBUTING.rst,rst,contributing is not in Markdown.
https://api.github.com/repos/OpenVPN/openvpn/contents/CONTRIBUTING.rst,rst,contributing is not in Markdown.
https://api.github.com/repos/zephyrproject-rtos/zephyr/contents/CONTRIBUTING.rst,rst,contributing is not in Markdown.
https://api.github.com/repos/Kitware/CMake/contents/CONTRIBUTING.rst,rst,contributing is not in Markdown.
https://api.github.com/repos/openvswitch/ovs/contents/CONTRIBUTING.rst,rst,contributing is not in Markdown.
https://api.github.com/repos/nexB/scancode-toolkit/contents/CONTRIBUTING.rst,rst,contributing is not in Markdown.
https://api.github.com/repos/jordansissel/fpm/contents/docs/contributing.rst,rst,contributing is not in Markdown.
https://api.github.com/repos/RailsApps/rails_apps_composer/contents/CONTRIBUTING.textile,textile,contributing is not in Markdown.
https://api.github.com/repos/moodle/moodle/contents/CONTRIBUTING.txt,txt,contributing is not in Markdown.
https://api.github.com/repos/google/swiftshader/contents/CONTRIBUTING.txt,txt,contributing is not in Markdown.
https://api.github.com/repos/micronucleus/micronucleus/contents/Contributing.txt,txt,contributing is not in Markdown.
